chord	('medtner_tales', 'minor')	('beethoven_piano_sonatas', 'major')	('ABC', 'major')	('mendelssohn_quartets', 'major')	('grieg_lyric_pieces', 'major')	('medtner_tales', 'major')	('mendelssohn_quartets', 'minor')	('liszt_pelerinage', 'major')	('bach_en_fr_suites', 'minor')	('ABC', 'minor')	('grieg_lyric_pieces', 'minor')	('beethoven_piano_sonatas', 'minor')	('bartok_bagatelles', 'major')	('chopin_mazurkas', 'major')	('scarlatti_sonatas', 'major')	('scarlatti_sonatas', 'minor')	('chopin_mazurkas', 'minor')	('mozart_piano_sonatas', 'major')	('bach_en_fr_suites', 'major')	('kleine_geistliche_konzerte', 'minor')	('rachmaninoff_piano', 'minor')	('liszt_pelerinage', 'minor')	('frescobaldi_fiori_musicali', 'minor')	('corelli', 'minor')	('wagner_overtures', 'major')	('bach_solo', 'minor')	('bach_solo', 'major')	('corelli', 'major')	('kozeluh_sonatas', 'major')	('kleine_geistliche_konzerte', 'major')	('peri_euridice', 'major')	('debussy_suite_bergamasque', 'minor')	('wf_bach_sonatas', 'major')	('c_schumann_lieder', 'major')	('jc_bach_sonatas', 'major')	('bartok_bagatelles', 'minor')	('ravel_piano', 'major')	('schulhoff_suite_dansante_en_jazz', 'major')	('frescobaldi_fiori_musicali', 'major')	('tchaikovsky_seasons', 'major')	('schubert_winterreise', 'minor')	('kozeluh_sonatas', 'minor')	('schubert_winterreise', 'major')	('couperin_concerts', 'minor')	('mozart_piano_sonatas', 'minor')	('monteverdi_madrigals', 'minor')	('mahler_kindertotenlieder', 'minor')	('jc_bach_sonatas', 'minor')	('wagner_overtures', 'minor')	('peri_euridice', 'minor')	('dvorak_silhouettes', 'major')	('schumann_liederkreis', 'major')	('tchaikovsky_seasons', 'minor')	('wf_bach_sonatas', 'minor')	('couperin_clavecin', 'minor')	('couperin_concerts', 'major')	('pergolesi_stabat_mater', 'minor')	('schumann_kinderszenen', 'major')	('monteverdi_madrigals', 'major')	('pleyel_quartets', 'major')	('couperin_clavecin', 'major')	('pleyel_quartets', 'minor')	('debussy_suite_bergamasque', 'major')	('mahler_kindertotenlieder', 'major')	('ravel_piano', 'minor')	('sweelinck_keyboard', 'minor')	('rachmaninoff_piano', 'major')	('schumann_liederkreis', 'minor')	('dvorak_silhouettes', 'minor')	('poulenc_mouvements_perpetuels', 'major')	('schulhoff_suite_dansante_en_jazz', 'minor')	('pergolesi_stabat_mater', 'major')	('schumann_kinderszenen', 'minor')	('c_schumann_lieder', 'minor')	('handel_keyboard', 'major')	('poulenc_mouvements_perpetuels', 'minor')	sum
v6(#14)	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
V6(#14)	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
#viio6(112)/vi	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
viio6(b4)	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
I(+7)	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
viio(#5)	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
I/III/ii	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
iv(#7b64)	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
IVM65/ii	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
ii7/V/V	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
V/VII/vi	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
#viio(2)/i	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
V/V/VII	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
i(+9+#7)	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
I/V/VII	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
V65/IV/ii	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
V(b9)/v	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
V(4)/V/VII	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
V/v/ii	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	1
